{'192.168.1.4': '-70', '192.168.1.6': '0', '192.168.1.21': '-91', 'location': 'Garage'}
{'192.168.1.4': '-81', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Garage'}
{'192.168.1.4': '-70', '192.168.1.6': '0', '192.168.1.21': '-74', 'location': 'Garage'}
{'192.168.1.4': '-70', '192.168.1.6': '0', '192.168.1.21': '-89', 'location': 'Garage'}
{'192.168.1.4': '-70', '192.168.1.6': '0', '192.168.1.21': '-74', 'location': 'Garage'}
{'192.168.1.4': '-66', '192.168.1.6': '0', '192.168.1.21': '-74', 'location': 'Garage'}
{'192.168.1.4': '-63', '192.168.1.6': '0', '192.168.1.21': '-75', 'location': 'Garage'}
{'192.168.1.4': '0', '192.168.1.6': '-68', '192.168.1.21': '0', 'location': 'Desk'}
{'192.168.1.4': '-100', '192.168.1.6': '-83', '192.168.1.21': '-86', 'location': 'Desk'}
{'192.168.1.4': '-87', '192.168.1.6': '-82', '192.168.1.21': '-78', 'location': 'Desk'}
{'192.168.1.4': '-85', '192.168.1.6': '-67', '192.168.1.21': '-63', 'location': 'Desk'}
{'192.168.1.4': '-95', '192.168.1.6': '-79', '192.168.1.21': '0', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-76', '192.168.1.21': '-88', 'location': 'Desk'}
{'192.168.1.4': '-85', '192.168.1.6': '0', '192.168.1.21': '-67', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-71', '192.168.1.21': '-86', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-62', '192.168.1.21': '-76', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-73', '192.168.1.21': '-84', 'location': 'Desk'}
{'192.168.1.4': '-80', '192.168.1.6': '0', '192.168.1.21': '-83', 'location': 'Desk'}
{'192.168.1.4': '-79', '192.168.1.6': '-80', '192.168.1.21': '-76', 'location': 'Desk'}
{'192.168.1.4': '-80', '192.168.1.6': '-77', '192.168.1.21': '-87', 'location': 'Desk'}
{'192.168.1.4': '-87', '192.168.1.6': '-63', '192.168.1.21': '-76', 'location': 'Desk'}
{'192.168.1.4': '-83', '192.168.1.6': '-63', '192.168.1.21': '-71', 'location': 'Desk'}
{'192.168.1.4': '-87', '192.168.1.6': '0', '192.168.1.21': '-87', 'location': 'Desk'}
